region_district,health_2007,health_2009,health_2010,population_1991,population_2002,population_projected_2011,population_2012,primary_education_gross_intake_2009,primary_education_net_intake_2009,primary_education_gross_enrolment_2009,primary_education_net_enrolment_2009,primary_education_gross_intake_2010,primary_education_net_intake_2010,primary_education_gross_enrolment_2010,primary_education_net_enrolment_2010,secondary_education_gross_intake_2009,secondary_education_net_intake_2009,secondary_education_gross_enrolment_2009,secondary_education_net_enrolment_2009,secondary_education_gross_intake_2010,secondary_education_net_intake_2010,secondary_education_gross_enrolment_2010,secondary_education_net_enrolment_2010,urbanised_areas,bushlands,commercial_farmlands,cultivated_lands,grasslands,impediments,plantations,plantations_softwoods,depleted_tropical_forest,tropical_forest,water_bodies,wetlands,woodlands
Adjumani,32,32,41,"96,264","202,290","353,100","375,800",72,15,60,40,67,12,54,32,16,1,12,8,17,1,11,8,3.2,13.6,6,"1,358.10",432.6,0.2,-,-,-,9.4,56.1,94.3,"1,113.40"
Apac,39,39,52,"162,192","249,656","337,400","349,000",143,48,150,125,142,48,153,118,18,1,13,11,23,1,12,11,4.6,84.1,12.6,"4,527.20",927.5,2,1.3,-,-,-,355.3,114.6,512
Arua,44,44,73,"368,214","559,075","751,700","776,700",258,83,183,149,255,84,180,135,43,5,30,23,41,5,26,,5.7,221.8,1.2,"3,460.40",339.6,0.7,13.6,2.9,-,-,37.4,80.6,"1,312.20"
Bugiri,66,54,71,"171,269","237,441","406,800","426,800",185,102,140,118,180,90,146,115,37,5,21,18,46,7,27,23,3.2,42.6,11.8,"1,157.40",53.9,0.8,0,-,11.9,10.7,"4,101.70",105.4,171.6
Bundibugyo,28,28,61,"92,311","158,909","248,900","261,700",162,79,118,99,158,71,109,82,21,2,12,11,26,2,14,12,0.6,18.8,-,559.2,849.6,-,-,-,14.2,278.9,180.2,102.9,257.3
Bushenyi,110,110,110,"160,982","205,671","246,400","251,400",180,74,129,99,180,71,127,94,44,7,32,27,51,9,35,33,5,121.3,10,"2,400.30",629.3,0.3,7.9,0.1,24.2,503.7,369.8,92,128.5
Busia,20,27,27,"163,597","225,008","289,300","297,600",200,110,176,147,191,106,169,133,55,5,41,32,56,5,35,31,3.3,37.5,1.6,561.2,24.5,0.1,0.1,0.1,13.8,3.2,28.5,29.1,56.5
Gulu,51,51,76,"211,788","298,527","385,600","396,500",153,65,156,123,148,61,142,103,41,4,33,26,51,4,32,28,7.9,300.1,3.5,"6,123.50","1,623.80",0.9,2,3.6,-,-,96.6,71.6,"3,482.00"
Hoima,23,23,89,"197,851","343,618","523,400","548,800",124,54,112,89,116,48,102,74,40,5,29,25,41,5,29,25,3.4,71.6,12.9,"1,609.80",715.6,-,0.3,3.2,198.4,359.9,"2,268.70",58.2,630.7
Iganga,69,81,82,"235,348","355,473","482,900","499,600",131,67,133,111,122,62,120,94,44,10,27,24,50,9,35,30,5.5,39.1,0.9,"2,209.50",37.1,0.2,1.2,-,-,4.3,2.7,146.2,35.9
Jinja,66,67,68,"289,476","387,573","488,400","501,300",113,69,121,104,106,64,116,91,55,14,51,42,65,17,52,45,18.3,20.9,81.9,505.6,4.4,-,24.2,1.4,1.9,0.2,49.7,12.2,2
Kabale,100,100,107,"417,218","458,318","494,500","498,300",210,96,150,117,201,99,143,107,41,5,36,29,48,7,37,32,5.8,4.7,0.2,"1,395.10",164.5,-,13.4,13.9,2.5,60.5,50.6,15,3.5
Kabarole,53,53,76,"299,573","356,914","409,400","415,600",149,58,129,99,153,60,128,90,51,6,32,27,54,6,34,29,6.3,2.3,52.7,"1,106.30",215.1,-,6,5.8,48.1,246.2,8.1,21.8,105.7
Kaberamaido,16,16,45,"81,535","131,650","191,000","199,200",176,109,170,141,168,105,161,121,32,3,23,19,39,2,24,20,0.5,18.9,-,947.4,195.8,-,-,-,-,-,269.4,61.5,130.4
Kalangala,11,11,13,"16,371","34,766","62,000","66,300",99,48,75,56,95,51,69,49,15,5,10,9,18,5,10,8,0.1,7.3,-,146.9,114.7,-,-,-,0.4,163.3,"8,600.30",0.3,35.3
Kampala,200,200,250,"774,241","1,189,142","1,659,700","1,723,300",77,39,84,70,76,38,83,64,45,16,41,33,45,15,37,32,81.5,6.2,1.2,71.7,0.8,0.2,0.2,-,3.6,-,16.8,14.5,0.2
Kamuli,61,51,71,"249,317","361,399","484,700","500,800",148,80,129,109,135,73,125,98,43,8,28,25,51,7,35,32,5.9,87.3,2.4,"2,613.70",337.8,1,2.1,0.2,-,-,649.2,396.8,205.1
Kamwenge,30,30,52,"201,654","263,730","324,400","332,000",199,70,138,101,188,65,133,87,31,2,19,15,33,2,19,16,0.7,33.3,0.7,"1,341.00",533.7,0,0.3,-,7.6,181.2,64.1,75.2,201.5
Kanungu,46,46,56,"160,708","204,732","246,900","252,100",194,84,138,108,190,79,134,96,48,4,27,22,44,5,29,24,1,22.4,3,863.9,115.1,-,1.6,11,2.4,141.2,18.1,7.4,104.9
Kapchorwa,29,31,30,"48,667","74,268","109,200","114,100",172,99,152,125,169,95,152,115,58,7,40,35,62,11,46,39,1.4,53.3,5.4,611.5,584.5,0.1,0.1,11.1,103.9,143.9,-,10.4,206
Kasese,88,88,98,"343,601","523,033","721,400","747,800",182,78,134,108,169,71,128,95,40,3,28,23,42,3,28,22,12.3,153.5,42.5,"1,339.60",553.1,4.9,1.5,0,16.7,293,409.7,65.8,496.7
Katakwi,13,15,21,"75,244","118,928","169,800","176,800",164,80,144,114,160,82,137,99,26,2,16,13,34,3,17,13,4.7,2.4,-,"2,300.10","2,410.00",0.5,0,-,-,-,99.1,65.9,131.7
Kayunga,21,23,54,"236,177","294,613","351,600","358,700",195,95,157,129,190,96,154,118,47,9,38,34,49,10,38,35,2.8,113.5,3.3,890.1,281.5,-,4.4,1.1,3.2,0.5,114.5,184.1,103.4
Kibaale,44,44,100,"220,261","405,882","646,500","681,300",165,68,133,103,157,60,130,94,39,4,22,19,39,5,22,19,2.7,20.3,-,"2,203.40",521.1,3,0.2,-,255.8,592,0.3,105.5,541.7
Kiboga,37,40,40,"98,153","108,897","158,400","165,100",167,61,118,92,135,47,105,72,26,5,20,18,36,7,26,23,1.2,90.4,1.1,"1,669.50",907,-,0,3.6,28.4,23.4,0.2,122.8,"1,197.80"
Kisoro,31,31,56,"186,681","220,312","250,800","254,300",209,103,143,118,249,119,147,113,32,2,22,18,32,2,20,19,2.1,0.7,-,580.3,28.3,-,1.5,0,2.2,76.4,28.3,9.8,-
Kitgum,35,35,55,"104,557","167,030","238,300","247,800",158,67,153,123,137,56,129,95,33,2,20,16,50,5,29,24,3.3,241,-,"4,079.00","1,776.10",0.4,-,-,-,-,3.1,-,"3,531.60"
Kotido,18,18,18,"57,198","122,541","218,500","233,300",138,41,46,38,98,30,48,35,7,0,5,3,8,0,5,3,1.2,"2,375.70",-,"2,276.30","6,863.90",3,0.1,-,-,-,0.2,-,"1,724.70"
Kumi,23,23,26,"102,030","165,365","244,500","255,500",166,102,155,130,168,98,149,116,32,4,25,22,29,3,20,18,3.8,80.9,3.7,"1,704.90",771.5,0.4,0.9,-,-,-,115.7,106.4,59.9
Kyenjojo,40,40,60,"182,026","266,246","369,700","383,600",178,60,121,90,148,55,114,78,21,2,14,12,26,1,17,14,1.6,25,29.1,"2,182.60",663.9,4.9,1.7,14.8,88,315.1,0.1,91.8,636
Lira,43,43,43,"191,473","290,601","390,300","403,100",147,51,147,120,159,51,144,109,39,4,19,16,54,2,20,18,10.5,67.3,6.1,"4,800.50",909.4,1.9,0.6,2.2,-,-,783.3,110.6,508.3
Luweero,57,67,77,"255,390","341,317","429,000","440,200",240,118,176,148,207,108,154,120,66,18,50,44,72,18,53,48,5.1,55.7,3.9,"2,392.90","1,230.70",0,0.6,0.2,41.4,1,1.3,240.1,"1,721.10"
Masaka,80,80,77,"203,566","228,170","249,200","251,600",199,87,141,118,186,86,135,104,39,9,29,25,73,18,48,43,9.5,75.7,3.7,"2,328.10",898.3,-,9.3,0,71.3,44.7,"1,129.70",83.3,38
Masindi,51,51,78,"129,682","208,420","334,200","352,400",110,46,110,86,111,48,99,69,33,5,24,20,39,6,29,25,9.4,226.5,108.9,"2,836.70","2,014.60",0.1,2.1,0.8,14.7,378.7,799.6,130.4,"2,920.50"
Mayuge,31,31,40,"216,849","324,674","445,100","461,200",158,78,144,124,163,75,138,110,31,3,20,17,38,6,24,22,1.7,32.2,6.6,743.6,70.2,0.2,1,1,107.6,9.5,"3,556.00",57.1,51.7
Mbale,32,32,40,"240,929","332,571","428,800","441,300",178,95,153,125,163,81,148,112,63,11,57,45,91,11,58,47,12.2,13.2,-,"1,076.40",73.8,0.1,4.1,-,78.3,35.3,0,5.1,74.2
Mbarara,53,53,76,"267,457","361,477","436,400","445,600",192,78,130,98,168,68,125,89,58,12,42,35,49,10,41,36,11,"1,425.50",2.8,"3,186.40","4,930.90",1.7,7.8,9.2,1.3,27.5,79.4,203.1,132.5
Moroto,19,19,19,"59,149","77,243","128,300","136,000",90,25,48,35,111,30,49,34,8,0,6,5,15,0,10,8,2.7,"2,106.80",-,"1,344.30","4,555.20",0.7,-,-,-,-,-,-,508
Moyo,37,37,58,"79,381","194,778","382,400","412,500",64,22,51,36,61,21,46,30,11,1,11,8,14,1,11,8,2.1,39.4,-,565.1,566.5,0,0.1,0,0,-,90,102.3,525.3
Mpigi,59,64,64,"157,368","187,771","212,400","215,500",191,98,152,127,164,81,133,102,55,15,46,41,62,15,47,43,3.8,90,10.6,"1,711.20",834.6,-,0.7,-,144.6,154.8,338,82.7,234.5
Mubende,51,56,56,"277,449","423,422","588,300","610,600",156,62,110,86,158,60,107,77,33,5,20,18,34,6,19,18,4.7,217.8,28.8,"3,718.10",991.1,0.4,5.3,1,178,36.5,154.3,160,701.8
Mukono,69,77,77,"319,434","423,052","536,400","551,000",155,65,126,103,159,74,130,98,58,17,45,40,64,20,54,49,14.4,108,151.4,"1,795.60",321.2,0.8,3.7,1.6,341.4,406.2,"9,289.70",172.3,49.3
Nakapiripirit,15,15,27,"66,248","90,922","152,400","161,600",127,25,53,42,133,35,66,48,7,1,4,3,7,0,5,4,1.1,"1,633.60",0.8,738.2,"3,103.50",1.4,-,-,-,-,-,14.4,340.7
Nakasongola,28,30,33,"100,497","127,064","153,200","156,500",230,122,170,132,214,114,169,123,59,9,39,35,74,11,42,37,7.9,408.6,0.7,958.2,780.9,0,0,12.7,-,-,238.8,158.1,944
Nebbi,57,57,57,"185,551","266,312","337,400","346,200",210,77,143,114,217,72,145,103,20,1,15,11,26,1,16,13,0.8,191.5,1.2,"1,783.20",627.6,-,1.2,15.3,-,1.4,82.3,31.8,181
Ntungamo,36,36,54,"305,199","379,987","469,000","480,100",211,77,133,98,220,83,133,93,37,2,28,23,41,3,28,24,1.3,2.6,-,987.4,971.1,-,2.2,2.5,-,-,4.1,70,14.3
Pader,55,55,79,"80,938","142,320","221,000","231,700",159,63,145,118,150,54,140,103,21,1,10,9,20,1,9,9,3.3,11.5,-,"4,354.60",673.6,2.9,0,0,-,-,5.8,-,"1,877.60"
Pallisa,40,40,40,"166,092","255,870","350,000","362,600",186,97,149,128,160,88,147,118,38,6,27,23,46,8,29,25,2.7,3.6,2.1,"1,463.00",134.6,0.3,0.3,-,-,-,66.3,312.1,6.9
Rakai,65,92,105,"330,401","404,326","475,600","484,400",170,82,129,109,170,83,127,99,37,9,24,22,39,9,25,23,3.3,255.5,1.6,"1,605.10","1,928.40",1.2,5.2,-,23.8,135.9,755.3,88.6,104.8
Rukungiri,65,65,98,"230,072","275,162","316,400","321,300",191,82,137,82,171,76,132,90,64,5,37,30,64,5,33,30,1.7,33.9,-,876.4,333.1,-,4.2,-,-,125.8,118.8,9.3,63.5
Sembabule,21,23,23,"144,039","180,045","215,200","219,600",151,77,142,115,120,70,131,96,46,5,34,27,56,7,49,40,0.6,456.9,0.1,855.1,852.1,-,0.7,-,-,-,0.8,36,117
Sironko,36,36,38,"147,729","185,819","233,500","239,600",-,-,-,-,188,88,134,99,-,-,-,-,67,10,44,37,1.8,28.9,2.3,592.5,249.4,-,0.4,-,45.3,15.6,-,30.1,127.6
Soroti,47,44,59,"113,872","193,310","305,800","322,000",175,91,169,144,180,92,161,127,46,5,29,26,50,6,29,26,13.5,25.3,4.3,"1,831.60",723.8,-,0.1,2.1,-,-,503.7,225.2,48.1
Tororo,53,53,72,"285,299","379,399","475,700","487,900",175,89,169,136,175,95,166,127,51,8,42,34,60,9,42,34,10.1,31.5,36.9,"1,513.10",55.8,0.1,1.5,-,0.3,0,0.1,178.6,21.2
Wakiso,95,99,104,"562,887","907,988","1,315,300","1,371,600",94,41,101,79,93,40,97,73,54,18,50,43,53,17,46,41,30.8,38.6,24,"1,256.20",209.1,0.6,2.4,0.1,160.8,50.7,901.1,64.7,68.6
Yumbe,17,17,56,"99,794","251,784","504,500","545,500",118,42,80,65,117,40,77,58,19,2,12,9,22,2,13,11,0.1,2.8,-,909.6,437,1.2,0.5,-,-,-,10,12.6,"1,029.10"
Tororo,10.1,53,53,72,"285,299","379,399","475,700","487,900",175,89,169,136,175,95,166,127,51,8,42,34,60,9,42,34,,,,,,,,,,,,
Wakiso,30.8,95,99,104,"562,887","907,988","1,315,300","1,371,600",94,41,101,79,93,40,97,73,54,18,50,43,53,17,46,41,,,,,,,,,,,,
Yumbe,0.1,17,17,56,"99,794","251,784","504,500","545,500",118,42,80,65,117,40,77,58,19,2,12,9,22,2,13,11,,,,,,,,,,,,